id,playtime_forever
0,14.433333333333335
1,0.0
2,0.0
3,0.0
4,3.3
5,0.13333333333333333
6,0.0
7,0.0
8,0.0
9,2.716666666666667
10,0.2333333333333333
11,0.0
12,2.6166666666666667
13,2.6166666666666667
14,2.6166666666666667
15,2.4833333333333334
16,0.0
17,0.1
18,0.1
19,0.0
20,0.0
21,2.716666666666667
22,0.9666666666666668
23,0.03333333333333333
24,0.0
25,0.0
26,0.0
27,2.716666666666667
28,2.716666666666667
29,2.716666666666667
30,1.6833333333333331
31,113.8
32,0.1
33,2.716666666666667
34,2.716666666666667
35,2.716666666666667
36,2.716666666666667
37,3.083333333333333
38,0.2333333333333333
39,14.433333333333335
40,0.0
41,0.0
42,14.433333333333335
43,0.13333333333333333
44,0.1
45,0.2333333333333333
46,0.9666666666666668
47,0.0
48,0.0
49,2.45
50,0.2333333333333333
51,0.0
52,14.433333333333335
53,0.0
54,0.0
55,0.0
56,0.5
57,0.2333333333333333
58,0.0
59,0.0
60,14.433333333333335
61,0.0
62,0.0
63,3.283333333333333
64,0.0
65,2.716666666666667
66,1.6833333333333331
67,0.0
68,4.216666666666667
69,0.0
70,0.15
71,32.766666666666666
72,0.0
73,49.38333333333333
74,0.1
75,3.033333333333333
76,0.8333333333333334
77,0.0
78,0.0
79,0.0
80,0.2333333333333333
81,0.016666666666666666
82,0.0
83,0.0
84,22.33333333333333
85,0.0
86,0.0
87,0.0
88,5.383333333333334
89,3.083333333333333
